,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_dropout,param_filters,param_neurons,param_nro_capas,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,122.33352077007294,4.549351811408997,5.843181848526001,0.6044983863830566,0.3,64,128,2,"{'dropout': 0.3, 'filters': 64, 'neurons': 128, 'nro_capas': 2}",0.6171428561210632,0.631428599357605,0.6242857277393341,0.007142871618270874,4
1,122.55799722671509,0.00457453727722168,5.567625045776367,0.047868967056274414,0.3,64,128,3,"{'dropout': 0.3, 'filters': 64, 'neurons': 128, 'nro_capas': 3}",0.7200000286102295,0.5114285945892334,0.6157143115997314,0.10428571701049805,7
2,158.02516174316406,26.159549713134766,9.074501395225525,2.960614562034607,0.3,64,512,2,"{'dropout': 0.3, 'filters': 64, 'neurons': 512, 'nro_capas': 2}",0.4628571569919586,0.6600000262260437,0.5614285916090012,0.09857143461704254,11
3,133.9971194267273,9.99027705192566,5.752431035041809,0.05415070056915283,0.3,64,512,3,"{'dropout': 0.3, 'filters': 64, 'neurons': 512, 'nro_capas': 3}",0.5971428751945496,0.668571412563324,0.6328571438789368,0.03571426868438721,3
4,232.00461339950562,112.26104235649109,5.3897364139556885,0.46689772605895996,0.3,128,128,2,"{'dropout': 0.3, 'filters': 128, 'neurons': 128, 'nro_capas': 2}",0.5142857432365417,0.5685714483261108,0.5414285957813263,0.027142852544784546,15
5,124.61828112602234,2.0485405921936035,5.44797158241272,0.3135950565338135,0.3,128,128,3,"{'dropout': 0.3, 'filters': 128, 'neurons': 128, 'nro_capas': 3}",0.43714284896850586,0.6428571343421936,0.5399999916553497,0.10285714268684387,17
6,135.90286815166473,0.11200201511383057,8.670445322990417,3.2339483499526978,0.3,128,512,2,"{'dropout': 0.3, 'filters': 128, 'neurons': 512, 'nro_capas': 2}",0.545714259147644,0.3628571331501007,0.4542856961488724,0.09142856299877167,23
7,147.4296886920929,6.6738622188568115,6.269686579704285,0.014293551445007324,0.3,128,512,3,"{'dropout': 0.3, 'filters': 128, 'neurons': 512, 'nro_capas': 3}",0.6800000071525574,0.5685714483261108,0.6242857277393341,0.05571427941322327,4
8,120.4105532169342,2.5153188705444336,5.315083146095276,0.18795406818389893,0.3,128,128,2,"{'dropout': 0.3, 'filters': 128, 'neurons': 128, 'nro_capas': 2}",0.5285714268684387,0.6714285612106323,0.5999999940395355,0.0714285671710968,8
9,128.80459880828857,2.6658976078033447,5.502611517906189,0.024648547172546387,0.3,128,128,3,"{'dropout': 0.3, 'filters': 128, 'neurons': 128, 'nro_capas': 3}",0.645714282989502,0.6857143044471741,0.665714293718338,0.02000001072883606,1
10,348.0917720794678,200.34689903259277,9.58139431476593,0.5791040658950806,0.3,128,512,2,"{'dropout': 0.3, 'filters': 128, 'neurons': 512, 'nro_capas': 2}",0.322857141494751,0.645714282989502,0.48428571224212646,0.1614285707473755,22
11,242.1685905456543,72.02922892570496,6.593234896659851,0.35923683643341064,0.3,128,512,3,"{'dropout': 0.3, 'filters': 128, 'neurons': 512, 'nro_capas': 3}",0.6000000238418579,0.49714285135269165,0.5485714375972748,0.05142858624458313,14
12,157.1069895029068,21.277615189552307,5.191398024559021,0.31173408031463623,0.7,64,128,2,"{'dropout': 0.7, 'filters': 64, 'neurons': 128, 'nro_capas': 2}",0.35428571701049805,0.488571435213089,0.4214285761117935,0.06714285910129547,24
13,136.19100034236908,1.3485599756240845,5.537338137626648,0.01002204418182373,0.7,64,128,3,"{'dropout': 0.7, 'filters': 64, 'neurons': 128, 'nro_capas': 3}",0.691428542137146,0.5028571486473083,0.5971428453922272,0.09428569674491882,9
14,176.39119684696198,30.93666970729828,17.35455048084259,10.45430314540863,0.7,64,512,2,"{'dropout': 0.7, 'filters': 64, 'neurons': 512, 'nro_capas': 2}",0.645714282989502,0.6371428370475769,0.6414285600185394,0.004285722970962524,2
15,156.43607449531555,0.513664960861206,6.929475665092468,0.6254168748855591,0.7,64,512,3,"{'dropout': 0.7, 'filters': 64, 'neurons': 512, 'nro_capas': 3}",0.5885714292526245,0.5142857432365417,0.5514285862445831,0.03714284300804138,13
16,153.96308708190918,18.446907997131348,5.893383860588074,0.37837302684783936,0.7,128,128,2,"{'dropout': 0.7, 'filters': 128, 'neurons': 128, 'nro_capas': 2}",0.6057142615318298,0.47428572177886963,0.5399999916553497,0.0657142698764801,17
17,148.7867248058319,1.7261114120483398,6.3524779081344604,0.09128272533416748,0.7,128,128,3,"{'dropout': 0.7, 'filters': 128, 'neurons': 128, 'nro_capas': 3}",0.6828571557998657,0.4657142758369446,0.5742857158184052,0.10857143998146057,10
18,183.06675052642822,29.43587827682495,8.775666952133179,0.4091830253601074,0.7,128,512,2,"{'dropout': 0.7, 'filters': 128, 'neurons': 512, 'nro_capas': 2}",0.677142858505249,0.3628571331501007,0.5199999958276749,0.15714286267757416,20
19,231.32625651359558,53.58289575576782,9.27111268043518,2.3788702487945557,0.7,128,512,3,"{'dropout': 0.7, 'filters': 128, 'neurons': 512, 'nro_capas': 3}",0.5914285778999329,0.4457142949104309,0.5185714364051819,0.07285714149475098,21
20,145.8654055595398,1.68170166015625,6.221454739570618,0.007373213768005371,0.7,128,128,2,"{'dropout': 0.7, 'filters': 128, 'neurons': 128, 'nro_capas': 2}",0.5885714292526245,0.6600000262260437,0.6242857277393341,0.035714298486709595,4
